Role,Category,Feature,Description/User Story
Admin,Authentication,Login,As an admin, I want to log in securely so I can access management and reporting functions.
Admin,Authentication,Logout,As an admin, I want to log out securely so my session is properly closed and audited.
Admin,Authentication,Password Change,As an admin, I want to change my password so I can maintain account security.
Admin,Authentication,Email Verification,As an admin, I want to verify my email address so I can receive important notifications.
Admin,Operations,Create New Order,As an admin, I want to create new laundry orders so customer requests are properly recorded.
Admin,Operations,Update Order,As an admin, I want to update laundry orders (status, payment, details) so records are accurate.
Admin,Operations,Delete Order,As an admin, I want to delete orders so I can remove erroneous entries.
Admin,Operations,Archive Order,As an admin, I want to archive orders so I can maintain a clean active order list while preserving history.
Admin,Operations,Unarchive Order,As an admin, I want to unarchive orders so I can restore previously archived orders if needed.
Admin,Operations,View Order Details,As an admin, I want to view detailed order information so I can track order status and history.
Admin,Operations,Print Invoice/Receipt,As an admin, I want to print invoices/receipts so customers receive official proof of payment.
Admin,Operations,Create Draft Order,As an admin, I want to save orders as drafts so I can complete them later without losing information.
Admin,Operations,Enter & Update Customer Info,As an admin, I want to maintain customer information so records stay updated.
Admin,Operations,Check Other Branch Transactions,As an admin, I want to check if a customer has transactions in other branches so I can see their complete history.
Admin,Operations,Raise Expense Request,As an admin, I want to record expense requests so they can be tracked and approved.
Admin,Operations,View Expense Requests,As an admin, I want to view all expense requests so I can review and manage them.
Admin,Operations,Approve Expense Request,As an admin, I want to approve expense requests so valid expenses are processed.
Admin,Operations,Reject Expense Request,As an admin, I want to reject expense requests so invalid expenses are not processed.
Admin,Managing,Manage Employees,As an admin, I want to add, edit, or remove employee records so staff information is always updated.
Admin,Managing,Manage Services,As an admin, I want to update laundry services, products, and prices so the system reflects current offerings.
Admin,Managing,Manage Discounts,As an admin, I want to set or update discount rates/promos so customers can avail offers.
Admin,Managing,Manage Vouchers,As an admin, I want to create and manage monthly vouchers so customers can redeem promotional offers.
Admin,Managing,Manage Stations/Branches,As an admin, I want to manage branch locations so the system supports multi-branch operations.
